customer_id,customer_name,age,gender,city
8270,Meera,25,Female,Bangalore
1860,Vihaan,18,Female,Hyderabad
6390,Ishaan,18,Male,Hyderabad
6191,Saanvi,33,Male,Delhi
6734,Vivaan,61,Male,Hyderabad
7265,Aarav,28,Male,Mumbai
1466,Ishaan,30,Male,Delhi
5426,Rohan,60,Male,Mumbai
6578,Amaya,61,Female,Bangalore
9322,Ishaan,63,Male,Chennai
2685,Sara,28,Male,Kolkata
1769,Ananya,28,Male,Chennai
7949,Vivaan,25,Female,Pune
3433,Anika,35,Female,Kolkata
6311,Krishna,54,Male,Mumbai
6051,Ananya,34,Male,Chennai
7420,Ayaan,19,Male,Pune
2184,Ananya,57,Male,Pune
5555,Meera,61,Female,Pune
4385,Meera,50,Male,Hyderabad
7396,Ira,60,Male,Mumbai
9666,Aarav,18,Female,Chennai
3558,Anika,50,Female,Mumbai
8849,Ayaan,56,Female,Hyderabad
3047,Myra,55,Female,Kolkata
3747,Arjun,64,Male,Kolkata
1189,Ishaan,36,Female,Mumbai
3734,Vihaan,45,Male,Hyderabad
4005,Krishna,35,Male,Pune
5658,Ayaan,54,Female,Pune
2899,Anika,48,Female,Hyderabad
8734,Vihaan,60,Female,Bangalore
2267,Sara,38,Female,Pune
2528,Anika,63,Male,Hyderabad
4556,Diya,33,Female,Bangalore
4890,Vihaan,24,Male,Kolkata
9838,Myra,25,Female,Bangalore
6393,Meera,55,Male,Chennai
9792,Ishaan,64,Female,Kolkata
9433,Ira,56,Female,Kolkata
8513,Ayaan,28,Male,Chennai
3612,Myra,41,Male,Pune
8041,Vihaan,35,Female,Bangalore
7235,Saanvi,48,Male,Mumbai
6486,Amaya,39,Female,Hyderabad
8099,Krishna,58,Female,Chennai
1775,Ayaan,39,Other,Pune
9226,Diya,64,Male,Mumbai
4152,Myra,38,Female,Pune
2585,Ananya,38,Female,Kolkata
4943,Diya,37,Female,Pune
8555,Vivaan,47,Female,Mumbai
4073,Aditya,36,Male,Delhi
2021,Ishaan,52,Female,Hyderabad
4843,Krishna,50,Female,Pune
8989,Vihaan,25,Male,Delhi
7873,Vihaan,48,Male,Delhi
6675,Myra,35,Female,Bangalore
1161,Myra,24,Male,Bangalore
5297,Rohan,36,Female,Bangalore
1995,Ishaan,61,Male,Hyderabad
8629,Ananya,38,Female,Chennai
